주상병명	진료년도	연령	진료인원(명)
수면장애	2017	40대	306
수면장애	2017	50대	418
수면장애	2017	60대	334
수면장애	2017	70대	296
수면장애	2017	80대 이상	193
수면장애	2017	20대	167
수면장애	2017	30대	269
수면장애	2017	40대	378
수면장애	2017	50대	508
수면장애	2017	60대	347
수면장애	2017	70대	250
수면장애	2017	80대 이상	165
수면장애	2017	20대	98
수면장애	2017	30대	259
수면장애	2017	40대	242
수면장애	2017	50대	323
수면장애	2017	60대	273
수면장애	2017	70대	209
수면장애	2017	80대 이상	123
수면장애	2017	20대	111
수면장애	2017	30대	187
수면장애	2017	40대	284
수면장애	2017	50대	399
수면장애	2017	60대	382
수면장애	2017	70대	360
수면장애	2017	80대 이상	235
수면장애	2017	20대	58
수면장애	2017	30대	116
수면장애	2017	40대	222
수면장애	2017	50대	328
수면장애	2017	60대	310
수면장애	2017	70대	262
수면장애	2017	80대 이상	172
수면장애	2017	30대	0
수면장애	2017	40대	0
수면장애	2017	50대	0
수면장애	2017	70대	0
수면장애	2017	80대 이상	0
수면장애	2017	20대	8
수면장애	2017	30대	14
